# name: E6 Harestua to Grua (section ATK)
# fallbackSpeedKmh: 80
# osrmDistanceMeters: 11246.5
# osrmDurationSeconds: 721
60.184692,10.707385
60.184720,10.707328
60.184828,10.707100
60.184944,10.706839
60.185065,10.706552
60.185456,10.705579
60.185557,10.705332
60.185679,10.705030
60.185777,10.704802
60.185880,10.704574
60.185984,10.704359
60.186110,10.704111
60.186228,10.703892
60.186346,10.703695
60.186457,10.703513
60.186584,10.703319
60.186701,10.703150
60.186832,10.702976
60.186980,10.702792
60.187114,10.702633
60.187246,10.702492
60.187356,10.702382
60.187461,10.702282
60.187581,10.702180
60.187713,10.702076
60.187851,10.701974
60.187978,10.701891
60.188107,10.701811
60.188234,10.701740
60.188349,10.701678
60.188463,10.701625
60.188577,10.701577
60.188697,10.701537
60.188826,10.701502
60.188940,10.701471
60.189076,10.701442
60.189202,10.701422
60.189360,10.701408
60.189474,10.701406
60.189603,10.701408
60.189722,10.701415
60.189845,10.701429
60.189993,10.701454
60.190134,10.701487
60.190273,10.701527
60.190428,10.701582
60.190594,10.701648
60.190756,10.701730
60.190909,10.701812
60.191062,10.701916
60.191251,10.702050
60.191453,10.702216
60.191673,10.702417
60.191918,10.702666
60.192369,10.703144
60.192578,10.703361
60.192722,10.703513
60.192883,10.703658
60.193043,10.703794
60.193206,10.703924
60.193429,10.704087
60.193626,10.704214
60.193813,10.704313
60.193998,10.704400
60.194170,10.704469
60.194386,10.704555
60.194584,10.704620
60.194789,10.704679
60.194998,10.704730
60.195247,10.704786
60.195509,10.704833
60.195727,10.704856
60.195906,10.704877
60.196130,10.704884
60.196364,10.704889
60.196572,10.704883
60.196759,10.704868
60.196955,10.704846
60.197167,10.704813
60.197382,10.704767
60.197587,10.704723
60.197783,10.704674
60.197985,10.704613
60.198156,10.704550
60.198329,10.704473
60.198483,10.704399
60.198657,10.704298
60.198824,10.704192
60.198974,10.704092
60.199120,10.703972
60.199304,10.703821
60.199471,10.703663
60.199660,10.703465
60.199851,10.703249
60.200071,10.702981
60.200891,10.701920
60.201156,10.701582
60.201330,10.701364
60.201486,10.701175
60.201610,10.701034
60.201740,10.700899
60.201870,10.700767
60.201990,10.700652
60.202108,10.700548
60.202221,10.700454
60.202351,10.700353
60.202474,10.700265
60.202586,10.700193
60.202721,10.700109
60.202877,10.700017
60.203072,10.699908
60.203314,10.699781
60.204369,10.699226
60.204602,10.699103
60.204836,10.698988
60.205073,10.698871
60.205331,10.698747
60.205562,10.698645
60.205779,10.698553
60.206013,10.698455
60.206246,10.698363
60.206430,10.698288
60.206594,10.698229
60.206751,10.698178
60.206930,10.698115
60.207159,10.698035
60.207328,10.697985
60.207558,10.697917
60.207756,10.697863
60.207921,10.697821
60.208202,10.697753
60.208474,10.697685
60.208704,10.697641
60.208883,10.697609
60.209050,10.697581
60.209214,10.697553
60.209390,10.697525
60.209503,10.697514
60.209688,10.697485
60.209853,10.697468
60.210128,10.697438
60.210488,10.697414
60.210793,10.697399
60.211122,10.697391
60.211606,10.697387
60.211940,10.697396
60.212275,10.697419
60.212544,10.697441
60.212834,10.697480
60.213191,10.697533
60.213455,10.697597
60.213734,10.697671
